20160112_174016;MEM2.1;CPU2;MEM2.2;-;T1;T2;T3;T4;V1;V2;V3;V4
63618705;1.984;3.287;1.858;0.000;31.1;31.1;31.1;31.1;12.51;12.45;12.40;0.00
63618715;1.528;2.396;1.433;0.000;31.1;31.1;31.1;31.1;12.51;12.45;12.40;0.00
63618725;1.748;2.982;1.667;0.000;31.1;31.1;31.1;31.1;12.51;12.45;12.40;0.00
63618735;2.031;3.416;1.873;0.000;31.1;31.1;31.1;31.1;12.51;12.45;12.40;0.00
63618745;1.545;2.444;1.465;0.000;31.1;31.1;31.1;31.1;12.52;12.44;12.44;0.00
63618755;1.820;3.077;1.739;0.000;31.1;31.1;31.1;31.1;12.52;12.44;12.44;0.00
63618765;1.604;2.542;1.512;0.000;31.1;31.1;31.1;31.1;12.52;12.44;12.44;0.00
63618775;1.663;2.612;1.532;0.000;31.1;31.1;31.1;31.1;12.52;12.44;12.44;0.00
63618785;1.584;2.476;1.473;0.000;31.1;31.1;31.1;31.1;12.52;12.44;12.44;0.00
63618795;1.694;2.651;1.512;0.000;31.1;31.1;31.1;31.1;12.52;12.44;12.44;0.00
63618805;1.568;2.359;1.407;0.000;31.1;31.1;31.1;31.1;12.52;12.44;12.44;0.00
63618815;1.722;2.675;1.547;0.000;31.1;31.1;31.1;31.1;12.52;12.44;12.44;0.00
63618825;1.482;2.265;1.395;0.000;31.1;31.1;31.1;31.1;12.52;12.44;12.44;0.00
63618835;1.537;2.429;1.458;0.000;31.1;31.1;31.1;31.1;12.52;12.44;12.44;0.00
63618845;1.686;2.712;1.577;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.43;0.00
63618855;1.765;2.912;1.652;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.43;0.00
63618865;1.667;2.654;1.531;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.43;0.00
63618875;1.761;2.857;1.628;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.43;0.00
63618885;1.576;2.462;1.452;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.43;0.00
63618895;1.702;2.736;1.570;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.43;0.00
63618905;1.588;2.517;1.491;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.43;0.00
63618915;1.612;2.517;1.484;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.43;0.00
63618925;1.663;2.560;1.491;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.43;0.00
63618935;1.655;2.525;1.484;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.43;0.00
63618945;1.730;2.806;1.640;0.000;31.1;31.1;31.1;31.1;12.58;12.50;12.49;0.00
63618955;1.829;3.061;1.711;0.000;31.1;31.1;31.1;31.1;12.58;12.50;12.49;0.00
63618965;2.115;3.634;1.970;0.000;31.1;31.1;31.1;31.1;12.58;12.50;12.49;0.00
63618975;1.758;2.845;1.636;0.000;31.1;31.1;31.1;31.1;12.58;12.50;12.49;0.00
63618985;1.794;2.943;1.676;0.000;31.1;31.1;31.1;31.1;12.58;12.50;12.49;0.00
63619045;1.980;3.306;1.810;0.000;31.1;31.1;31.1;31.1;12.51;12.45;12.47;0.00
63619055;1.905;3.189;1.794;0.000;31.1;31.1;31.1;31.1;12.51;12.45;12.47;0.00
63619065;1.705;2.693;1.606;0.000;31.1;31.1;31.1;31.1;12.51;12.45;12.47;0.00
63619075;1.535;2.447;1.449;0.000;31.1;31.1;31.1;31.1;12.51;12.45;12.47;0.00
63619085;1.685;2.708;1.587;0.000;31.1;31.1;31.1;31.1;12.51;12.45;12.47;0.00
63619095;1.567;2.447;1.496;0.000;31.1;31.1;31.1;31.1;12.51;12.45;12.47;0.00
63619105;1.618;2.568;1.543;0.000;31.1;31.1;31.1;31.1;12.51;12.45;12.47;0.00
63619115;1.693;2.697;1.602;0.000;31.1;31.1;31.1;31.1;12.51;12.45;12.47;0.00
63619125;1.776;2.872;1.645;0.000;31.1;31.1;31.1;31.1;12.51;12.45;12.47;0.00
